cbr	newreno	reno	tahoe	vegas
0	1.2866	0.9777	1.0223	0.0000
500	1.3525	1.2085	1.1285	0.0000
1000	1.4483	1.2605	1.2624	0.0000
1500	1.4852	1.2892	1.3268	0.0000
2000	1.6171	1.3762	1.4708	0.0000
2500	1.8118	1.7407	1.9689	0.0000
3000	1.9254	1.7340	2.0259	0.0000
3500	1.7358	1.4356	2.3307	0.0000
4000	1.1809	1.2740	1.4752	0.0000
4500	0.9832	0.9832	1.2651	0.0000
5000	0.8951	0.8951	1.1128	0.0000
5500	1.0449	1.2322	1.3937	0.0000
6000	1.3586	1.5594	1.5381	0.0000
6500	1.5173	1.5204	2.0260	0.0000
7000	1.7892	1.8779	2.0160	0.0000
7500	1.6388	1.6257	2.1023	0.0000
8000	2.0850	2.5553	2.7038	0.0000
8500	2.8072	3.2145	3.2795	0.0000
9000	5.2036	5.5425	5.3424	0.0000
9500	9.8476	9.2968	7.5758	0.7220
10000	29.4118	28.8889	29.9270	28.9855
